date	open	high	low	close	volume	code
2015-08-26	21360	21480	21000	21340	27947600	a005930
2015-08-25	21580	22140	21340	21580	19625950	a005930
2015-08-24	21760	22300	20660	21580	22429600	a005930
2015-08-21	21980	22560	21920	22020	20442550	a005930
2015-08-20	23260	23420	22600	22780	10805950	a005930
2015-08-19	23380	23520	22820	23080	20070750	a005930
2015-08-18	22360	22820	22340	22620	11583600	a005930
2015-08-17	22800	22820	22080	22080	11360850	a005930
2015-08-13	23060	23060	22760	22800	7520550	a005930
2015-08-12	23000	23280	22800	23080	11154000	a005930
2015-08-11	23020	23580	22960	23140	11664300	a005930
2015-08-10	22800	22840	22600	22820	5722500	a005930
2015-08-07	22400	22740	22300	22720	13787100	a005930
2015-08-06	23100	23120	22300	22300	20199050	a005930
2015-08-05	23640	23640	23160	23180	12802500	a005930
2015-08-04	23500	23740	23400	23640	12844350	a005930
2015-08-03	23680	23680	23320	23500	9844550	a005930
2015-07-31	24400	24440	23500	23700	19579450	a005930
2015-07-30	25160	25200	24300	24300	15419600	a005930
2015-07-29	25000	25500	24620	25260	13734450	a005930
2015-07-28	24480	25020	24380	24600	13381350	a005930
2015-07-27	24580	24940	24560	24600	12152000	a005930
2015-07-24	24540	24760	24480	24580	9829200	a005930
2015-07-23	24880	25060	24680	24680	10448250	a005930
2015-07-22	24880	25200	24700	25060	13416150	a005930
2015-07-21	25500	25540	24940	25260	9702750	a005930
2015-07-20	25820	26080	25460	25500	6446400	a005930
2015-07-17	26000	26220	25560	26100	14861650	a005930
2015-07-16	24460	25740	24460	25640	11173450	a005930
2015-07-15	24500	24760	24480	24700	8370650	a005930
2015-07-14	25300	25400	24420	24500	19989700	a005930
2015-07-13	25000	25440	24900	25320	7672050	a005930
2015-07-10	25140	25320	24960	25180	9573400	a005930
2015-07-09	24600	25300	24520	25300	14030500	a005930
2015-07-08	24800	25020	24640	24780	11780950	a005930
2015-07-07	24400	25180	24400	24800	12478250	a005930
2015-07-06	25060	25200	24460	24600	10099950	a005930
2015-07-03	25740	25880	25340	25360	7130200	a005930
